epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5769,0.01003,1.10004,1.7237,0.95263,0.97674,0.98725,0.56387,0.00975,0.86165,1.79045,0.0671521,0.000331797,0.000331797
2,46.5141,0.00882,0.80259,1.58304,0.93429,1,0.99045,0.43067,0.01387,0.82229,2.27139,0.0341455,0.000658546,0.000658546
3,67.2202,0.00939,0.81906,1.64467,0.78287,0.81395,0.90184,0.58173,0.01078,1.06924,1.72402,0.0011323,0.000978694,0.000978694
4,87.9739,0.00888,0.79318,1.58105,0.99188,1,0.995,0.61519,0.00955,0.69851,1.63901,0.0009703,0.0009703,0.0009703
5,108.372,0.00854,0.76154,1.54728,0.95546,0.9977,0.99086,0.67776,0.00832,0.75708,1.49495,0.0009604,0.0009604,0.0009604
6,128.356,0.00798,0.68438,1.47082,0.97407,0.97674,0.99277,0.61959,0.01058,0.70218,1.67674,0.0009505,0.0009505,0.0009505
7,148.406,0.00821,0.69044,1.50393,0.998,1,0.995,0.66956,0.00866,0.54605,1.55611,0.0009406,0.0009406,0.0009406
8,168.37,0.00773,0.65313,1.44335,0.97715,0.9944,0.99455,0.65865,0.00934,0.62516,1.6158,0.0009307,0.0009307,0.0009307
9,188.319,0.00769,0.66592,1.4447,0.99404,1,0.995,0.71852,0.00747,0.52476,1.3574,0.0009208,0.0009208,0.0009208
10,208.316,0.00778,0.6403,1.47105,0.99674,1,0.995,0.69839,0.00799,0.53455,1.55092,0.0009109,0.0009109,0.0009109
11,228.07,0.00721,0.61849,1.39207,0.99649,1,0.995,0.72343,0.00791,0.54382,1.41983,0.000901,0.000901,0.000901
12,248.225,0.0073,0.60395,1.40492,0.99828,1,0.995,0.67814,0.00888,0.47726,1.5235,0.0008911,0.0008911,0.0008911
13,268.411,0.00739,0.62172,1.41461,0.86536,0.89694,0.96548,0.61315,0.01014,0.68821,1.68474,0.0008812,0.0008812,0.0008812
14,288.874,0.0072,0.59939,1.38194,0.99799,1,0.995,0.79197,0.00634,0.48312,1.23041,0.0008713,0.0008713,0.0008713
15,309.315,0.007,0.59007,1.36938,0.99806,1,0.995,0.74879,0.00702,0.47449,1.2817,0.0008614,0.0008614,0.0008614
16,329.492,0.00694,0.57387,1.36829,0.9978,1,0.995,0.75244,0.0071,0.50647,1.32482,0.0008515,0.0008515,0.0008515
17,349.71,0.00672,0.55216,1.32969,0.99552,1,0.995,0.76286,0.00708,0.57116,1.31692,0.0008416,0.0008416,0.0008416
18,369.901,0.0069,0.58161,1.35901,0.99766,1,0.995,0.72047,0.00824,0.52022,1.45425,0.0008317,0.0008317,0.0008317
